T	a2
 1.93368	-0.06147
 1.93368	-0.06147
 1.93368	-0.09638
 1.93368	-0.09638
 1.93368	-0.09638
 1.93368	-0.09638
 1.93368	-0.08666
 1.93368	-0.12327
 1.93368	-0.12327
 1.93368	-0.12327
 1.93368	-0.12327
 1.93368	-0.12848
 1.93368	-0.12845
 1.93368	-0.12520
 1.93368	-0.12520
 1.93368	-0.09230
 1.93368	-0.03973
 1.93368	-0.03337
 1.93368	-0.03337
 1.93368	-0.03337
 1.93368	-0.03337
 1.93368	-0.03337
 1.93368	-0.03337
 1.93368	-0.03337
 1.93368	-0.02553
 1.93368	-0.02553
 1.93368	-0.02553
 1.93368	 0.18058
 1.93368	 0.18058
 1.93368	 0.26113
 1.93368	 0.26018
 1.93368	 0.26018
 1.93368	 0.26018
 1.93368	 0.20761
 1.93368	 0.20761
 1.93368	 0.20804
 1.93368	 0.20804
 1.93368	 0.20710
 1.93368	 0.22978
 1.93368	 0.22474
 1.93368	 0.14135
 1.93368	 0.14135
 1.93368	 0.13399
 1.93368	 0.13399
 1.93368	 0.13399
 1.93368	 0.13399
 1.93368	 0.14347
 1.93368	 0.14347
 1.93368	 0.14347
 1.93368	 0.15952
 1.93368	 0.16971
 1.93368	 0.16971
 1.93368	 0.17289
 1.93368	 0.17289
 1.93368	 0.09460
 1.93368	 0.09460
 1.93368	 0.09462
 1.93368	 0.07703
 1.93368	 0.07129
 1.93368	 0.07176
 1.93368	 0.07176
 1.93368	 0.11086
 1.93368	 0.11086
 1.93368	 0.11086
 1.93368	 0.11086
 1.93368	 0.11086
 1.93368	 0.11086
 1.93368	 0.11086
 1.93368	 0.11086
 1.93368	 0.11086
 1.93368	 0.09702
 1.93368	 0.09597
 1.93368	 0.11925
 1.93368	 0.11925
 1.93368	 0.12982
 1.93368	 0.27790
 1.93368	 0.59328
 1.93368	 0.59328
 1.93368	 0.65310
 1.93368	 0.65373
 1.93368	 0.65373
 1.93368	 0.65373
 1.93368	 0.65546
 1.93368	 0.65546
 1.93368	 0.65546
 1.93368	 0.65433
 1.93368	 0.65500
 1.93368	 0.65468
 1.93368	 0.64709
 1.93368	 0.74486
 1.93368	 0.74486
 1.93368	 0.75039
 1.93368	 0.34007
 1.93368	 0.34007
 1.93368	 0.34007
 1.93368	 0.40578
 1.93368	 0.48258
 1.93368	 0.48543
 1.93368	 0.48543
 1.93368	 0.48543
 1.93368	 0.48543
 1.93368	 0.47485
 1.93368	 0.47633
 1.93368	 0.47633
 1.93368	 0.47633
 1.93368	 0.47633
 1.93368	 0.47633
 1.93368	 0.47633
 1.93368	 0.47633
 1.93368	 0.46173
 1.93368	 0.44870
 1.93368	 0.44688
 1.93368	 0.44688
 1.93368	 0.45281
 1.93368	 0.45281
 1.93368	 0.45281
 1.93368	 0.45202
 1.93368	 0.45263
 1.93368	 0.46059
 1.93368	 0.46059
